Latitude,Longitude
9.97393511111111,76.27900694444445
9.9695199,76.2525660
9.967281333333334,76.243515
9.967281333333334,76.243515
9.966743444444445,76.24420927777778
9.966743444444445,76.24420927777778
9.966057777777777,76.24162291666667
9.966057777777777,76.24162291666667
9.9657787,76.2421147
9.963898638888889,76.24306486111111
9.963898638888889,76.24306486111111
9.962408055555555,76.24331663888888
9.962408055555555,76.24331663888888
9.954545,76.26030730555556
9.9516818,76.2369569
9.1905531,45.4645009
9.1905176,45.4644732
9.1905146,45.4644634
9.1903902,45.4644194
9.1903519,45.4644062
9.1903473,45.4644344
9.1903238,45.4643797
9.1903105,45.4643921
9.1903069,45.4644165
9.1902894,45.4643718
9.1902740,45.4643798
9.1902633,45.4643776
9.1902481,45.4643399
9.1902283,45.4643825
9.1902259,45.4643596
9.1902117,45.4643360
9.1902110,45.4644006
9.1902025,45.4642940
9.1901942,45.4643505
9.1901765,45.4644471
9.1901569,45.4643631
9.1901508,45.4643599
9.1901356,45.4643047
9.1901244,45.4643480
9.1901170,45.4643594
9.1898865,45.4643761
8.5652481,50.0484984
8.5637058,50.0479284
8.5616092,50.0464673
8.5608027,50.0465270
8.5606094,50.0458948
8.5596393,50.0470251
8.5596301,50.0470136
8.1106981,98.3052512
8.1089783,98.3059080
8.1089765,98.3059094
8.1089748,98.3058891
8.1089728,98.3058980
8.1089080,98.3067547
8.1088909,98.3067061
8.1088826,98.3067049
8.1088736,98.3066729
8.1088704,98.3066520
8.1088701,98.3066548
8.1088688,98.3067184
8.1088678,98.3067710
8.1088678,98.3066595
8.1088673,98.3067193
8.1088672,98.3066311
8.1088647,98.3067234
8.1088634,98.3066611
8.1088630,98.3066761
8.1088622,98.3066921
8.1088618,98.3066507
8.1088609,98.3066752
8.1088574,98.3066692
8.1088558,98.3066342
8.1088555,98.3066452
8.1088549,98.3066259
8.1088539,98.3066389
8.1088501,98.3066330
8.1088500,98.3066547
8.1088489,98.3066279
8.1088477,98.3066637
8.1088444,98.3066674
8.1088435,98.3066599
8.1088416,98.3066443
8.1088365,98.3066312
8.1088341,98.3066343
8.1088317,98.3066402
8.1088270,98.3065910
8.1088179,98.3066210
8.1088059,98.3065173
8.1088053,98.3065707
8.1087933,98.3065368
8.1087919,98.3064792
8.1087740,98.3065230
8.1087634,98.3065209
8.1087600,98.3065015
8.1087472,98.3065058
8.1087258,98.3064461
8.1087255,98.3064562
8.1087241,98.3064348
8.1087140,98.3064306
8.1087042,98.3064222
8.1086821,98.3063515
8.1086732,98.3063613
8.1086711,98.3063133
8.1086672,98.3063107
8.1086588,98.3063119
8.1086550,98.3062858
8.1086550,98.3062744
8.1086367,98.3062005
8.1086344,98.3062613
8.108622222222222,98.3068
8.108622222222222,98.3068
8.1086068,98.3060150
8.1085841,98.3059904
8.1084999,98.3063127
8.1084986,98.3063114
8.1082981,98.9351775
8.1082828,98.9353249
8.1082604,98.3059670
8.1082598,98.3059872
8.1082585,98.3059810
8.1082577,98.3059718
8.1082566,98.3059797
8.1082515,98.3059952
8.1082502,98.3059831
8.1082476,98.3059788
8.1082455,98.3059963
8.1082156,98.3060139
8.1081990,98.3061781
8.1081901,98.3060594
8.1080691,98.9312687
8.1079909,98.9312388
8.1079177,98.9291441
8.1078490,98.3070037
8.1078478,98.3069298
8.1078473,98.3072224
8.1078450,98.3069911
8.1078358,98.3070051
8.1078344,98.3072121
8.1078289,98.3070178
8.1078213,98.9380463
8.1078194,98.3070371
8.1078151,98.3071767
8.1078124,98.3072191
8.1078068,98.3070620
8.1078051,98.3070756
8.1077978,98.3071273
8.1077935,98.3070408
8.1077905,98.3071293
8.1077862,98.3070220
8.1077834,98.3072241
8.1077783,98.3070604
8.1077736,98.3071034
8.1077728,98.3071035
8.1077724,98.3070828
8.1077711,98.3070841
8.1077660,98.3069221
8.1077652,98.3071145
8.1077619,98.3070970
8.1077614,98.3071244
8.1077607,98.3070934
8.1077603,98.3070848
8.1077570,98.3071213
8.1077563,98.3071483
8.1077442,98.3071483
8.1077149,98.9166558
8.1075280,98.9416217
8.1074907,98.9330746
8.1074300,98.9265109
